InchPounds:    FootPounds:    NewtMeters:    
2              0.2            0.2            
4              0.3            0.5            
6              0.5            0.7            
8              0.7            0.9            
10             0.8            1.1            
12             1.0            1.4            
14             1.2            1.6            
16             1.3            1.8            
18             1.5            2.0            
20             1.7            2.3            
22             1.8            2.5            
24             2.0            2.7            
26             2.2            2.9            
28             2.3            3.2            
30             2.5            3.4            
32             2.7            3.6            
34             2.8            3.8            
36             3.0            4.1            
38             3.2            4.3            
40             3.3            4.5            
42             3.5            4.7            
44             3.7            5.0            
46             3.8            5.2            
48             4.0            5.4            
50             4.2            5.6            
52             4.3            5.9            
54             4.5            6.1            
56             4.7            6.3            
58             4.8            6.6            
60             5.0            6.8            
62             5.2            7.0            
64             5.3            7.2            
66             5.5            7.5            
68             5.7            7.7            
70             5.8            7.9            
72             6.0            8.1            
74             6.2            8.4            
76             6.3            8.6            
78             6.5            8.8            
80             6.7            9.0            
82             6.8            9.3            
84             7.0            9.5            
86             7.2            9.7            
88             7.3            9.9            
90             7.5            10.2           
92             7.7            10.4           
94             7.8            10.6           
96             8.0            10.8           
98             8.2            11.1           
100            8.3            11.3           
102            8.5            11.5           
104            8.7            11.8           
106            8.8            12.0           
108            9.0            12.2           
110            9.2            12.4           
112            9.3            12.7           
114            9.5            12.9           
116            9.7            13.1           
118            9.8            13.3           
120            10.0           13.6           
122            10.2           13.8           
124            10.3           14.0           
126            10.5           14.2           
128            10.7           14.5           
130            10.8           14.7           
132            11.0           14.9           
134            11.2           15.1           
136            11.3           15.4           
138            11.5           15.6           
140            11.7           15.8           
142            11.8           16.0           
144            12.0           16.3           
146            12.2           16.5           
148            12.3           16.7           
150            12.5           16.9           
152            12.7           17.2           
154            12.8           17.4           
156            13.0           17.6           
158            13.2           17.9           
160            13.3           18.1           
162            13.5           18.3           
164            13.7           18.5           
166            13.8           18.8           
168            14.0           19.0           
170            14.2           19.2           
172            14.3           19.4           
174            14.5           19.7           
176            14.7           19.9           
178            14.8           20.1           
180            15.0           20.3           
182            15.2           20.6           
184            15.3           20.8           
186            15.5           21.0           
188            15.7           21.2           
190            15.8           21.5           
192            16.0           21.7           
194            16.2           21.9           
196            16.3           22.1           
198            16.5           22.4           
200            16.7           22.6           
202            16.8           22.8           
204            17.0           23.0           
206            17.2           23.3           
208            17.3           23.5           
210            17.5           23.7           
212            17.7           24.0           
214            17.8           24.2           
216            18.0           24.4           
218            18.2           24.6           
220            18.3           24.9           
222            18.5           25.1           
224            18.7           25.3           
226            18.8           25.5           
228            19.0           25.8           
230            19.2           26.0           
232            19.3           26.2           
234            19.5           26.4           
236            19.7           26.7           
238            19.8           26.9           
240            20.0           27.1           
242            20.2           27.3           
244            20.3           27.6           
246            20.5           27.8           
248            20.7           28.0           
250            20.8           28.2           
252            21.0           28.5           
254            21.2           28.7           
256            21.3           28.9           
258            21.5           29.2           
260            21.7           29.4           
262            21.8           29.6           
264            22.0           29.8           
266            22.2           30.1           
268            22.3           30.3           
270            22.5           30.5           
272            22.7           30.7           
274            22.8           31.0           
276            23.0           31.2           
278            23.2           31.4           
280            23.3           31.6           
282            23.5           31.9           
284            23.7           32.1           
286            23.8           32.3           
288            24.0           32.5           
290            24.2           32.8           
292            24.3           33.0           
294            24.5           33.2           
296            24.7           33.4           
298            24.8           33.7           
300            25.0           33.9           
302            25.2           34.1           
304            25.3           34.3           
306            25.5           34.6           
308            25.7           34.8           
310            25.8           35.0           
312            26.0           35.3           
314            26.2           35.5           
316            26.3           35.7           
318            26.5           35.9           
320            26.7           36.2           
322            26.8           36.4           
324            27.0           36.6           
326            27.2           36.8           
328            27.3           37.1           
330            27.5           37.3           
332            27.7           37.5           
334            27.8           37.7           
336            28.0           38.0           
338            28.2           38.2           
340            28.3           38.4           
342            28.5           38.6           
344            28.7           38.9           
346            28.8           39.1           
348            29.0           39.3           
350            29.2           39.5           
352            29.3           39.8           
354            29.5           40.0           
356            29.7           40.2           
358            29.8           40.4           
360            30.0           40.7           
362            30.2           40.9           
364            30.3           41.1           
366            30.5           41.4           
368            30.7           41.6           
370            30.8           41.8           
372            31.0           42.0           
374            31.2           42.3           
376            31.3           42.5           
378            31.5           42.7           
380            31.7           42.9           
382            31.8           43.2           
384            32.0           43.4           
386            32.2           43.6           
388            32.3           43.8           
390            32.5           44.1           
392            32.7           44.3           
394            32.8           44.5           
396            33.0           44.7           
398            33.2           45.0           
400            33.3           45.2           
